2020,2040
Mode,Speed,CO,CO2,NOX,PM10,SOX,VOC,PM2.5,CO,CO2,NOX,PM10,SOX,VOC,PM2.5
Truck,35,0.7880,1027.6114,2.7688,0.0353,0.0096,0.1094,0.0337,0.2683,763.3850,1.1634,0.0057,0.0070,0.0168,0.0054
Truck,36,0.7707,1026.1846,2.7470,0.0355,0.0096,0.1065,0.0340,0.2556,758.7409,1.1196,0.0059,0.0070,0.0162,0.0057
Truck,37,0.7534,1024.7579,2.7253,0.0358,0.0096,0.1035,0.0342,0.2429,754.0968,1.0759,0.0062,0.0069,0.0156,0.0059
Truck,38,0.7362,1023.3312,2.7036,0.0360,0.0095,0.1006,0.0345,0.2301,749.4527,1.0322,0.0064,0.0069,0.0150,0.0061
Truck,39,0.7189,1021.9044,2.6818,0.0363,0.0095,0.0977,0.0347,0.2174,744.8086,0.9885,0.0066,0.0068,0.0143,0.0063
Truck,40,0.7016,1020.4777,2.6601,0.0366,0.0095,0.0947,0.0350,0.2047,740.1645,0.9447,0.0068,0.0068,0.0137,0.0065
Truck,41,0.6870,1013.9423,2.6305,0.0369,0.0095,0.0923,0.0353,0.1954,734.5862,0.9025,0.0072,0.0068,0.0134,0.0069
Truck,42,0.6725,1007.4069,2.6010,0.0372,0.0094,0.0898,0.0356,0.1861,729.0080,0.8603,0.0075,0.0067,0.0131,0.0072
Truck,43,0.6579,1000.8716,2.5715,0.0376,0.0094,0.0873,0.0359,0.1768,723.4298,0.8182,0.0078,0.0067,0.0128,0.0075
Truck,44,0.6434,994.3362,2.5419,0.0379,0.0093,0.0849,0.0363,0.1675,717.8516,0.7760,0.0082,0.0066,0.0125,0.0078
Truck,45,0.6288,987.8008,2.5124,0.0382,0.0093,0.0824,0.0366,0.1582,712.2733,0.7338,0.0085,0.0066,0.0122,0.0081
Truck,46,0.6314,964.3856,2.4771,0.0378,0.0091,0.0810,0.0362,0.1501,701.7716,0.6947,0.0087,0.0065,0.0123,0.0083
Truck,47,0.6340,940.9704,2.4418,0.0374,0.0089,0.0795,0.0358,0.1420,691.2700,0.6557,0.0089,0.0064,0.0123,0.0085
Truck,48,0.6366,917.5552,2.4065,0.0370,0.0087,0.0781,0.0354,0.1339,680.7683,0.6166,0.0091,0.0064,0.0124,0.0087
Truck,49,0.6392,894.1400,2.3712,0.0366,0.0085,0.0766,0.0350,0.1258,670.2666,0.5776,0.0093,0.0063,0.0124,0.0089
Truck,50,0.6419,870.7248,2.3359,0.0362,0.0083,0.0752,0.0346,0.1177,659.7649,0.5385,0.0095,0.0062,0.0125,0.0091
Truck,51,0.6220,892.7249,2.4040,0.0401,0.0085,0.0765,0.0384,0.1134,670.7116,0.5630,0.0104,0.0063,0.0124,0.0099
Truck,52,0.6022,914.7250,2.4722,0.0441,0.0087,0.0779,0.0422,0.1091,681.6584,0.5874,0.0113,0.0064,0.0123,0.0108
Truck,53,0.5824,936.7252,2.5404,0.0480,0.0089,0.0792,0.0459,0.1048,692.6052,0.6119,0.0122,0.0066,0.0122,0.0117
Truck,54,0.5626,958.7253,2.6086,0.0520,0.0091,0.0805,0.0497,0.1005,703.5520,0.6364,0.0131,0.0067,0.0121,0.0125
Truck,55,0.5428,980.7255,2.6768,0.0559,0.0093,0.0819,0.0535,0.0962,714.4987,0.6609,0.0140,0.0068,0.0120,0.0134
Truck,56,0.5271,1009.3233,2.7048,0.0580,0.0096,0.0817,0.0555,0.0964,730.3835,0.7136,0.0153,0.0069,0.0124,0.0146
Truck,57,0.5115,1037.9211,2.7329,0.0600,0.0098,0.0816,0.0574,0.0966,746.2682,0.7663,0.0166,0.0071,0.0127,0.0158
Truck,58,0.4958,1066.5189,2.7610,0.0621,0.0101,0.0814,0.0594,0.0969,762.1530,0.8191,0.0178,0.0072,0.0130,0.0171
Truck,59,0.4802,1095.1167,2.7891,0.0641,0.0104,0.0813,0.0613,0.0971,778.0378,0.8718,0.0191,0.0074,0.0134,0.0183
Truck,60,0.4645,1123.7146,2.8172,0.0661,0.0106,0.0811,0.0633,0.0973,793.9225,0.9245,0.0204,0.0075,0.0137,0.0195
Truck,61,0.4591,1143.6798,2.8456,0.0659,0.0108,0.0798,0.0631,0.1018,810.7058,1.0126,0.0218,0.0077,0.0144,0.0209
Truck,62,0.4537,1163.6450,2.8741,0.0657,0.0110,0.0785,0.0629,0.1064,827.4890,1.1007,0.0233,0.0078,0.0151,0.0222
Truck,63,0.4483,1183.6103,2.9025,0.0655,0.0112,0.0772,0.0627,0.1109,844.2722,1.1888,0.0247,0.0080,0.0157,0.0236
Truck,64,0.4429,1203.5755,2.9309,0.0653,0.0114,0.0759,0.0625,0.1154,861.0555,1.2769,0.0261,0.0081,0.0164,0.0250
Truck,65,0.4374,1223.5407,2.9594,0.0651,0.0116,0.0745,0.0623,0.1200,877.8387,1.3650,0.0275,0.0083,0.0171,0.0263
Truck,66,0.4579,1221.1740,2.9982,0.0648,0.0116,0.0762,0.0620,0.1280,880.4223,1.3757,0.0277,0.0083,0.0180,0.0265
Truck,67,0.4784,1218.8073,3.0370,0.0646,0.0115,0.0778,0.0618,0.1361,883.0060,1.3865,0.0279,0.0084,0.0189,0.0267
Truck,68,0.4989,1216.4406,3.0758,0.0643,0.0115,0.0795,0.0615,0.1442,885.5896,1.3972,0.0281,0.0084,0.0198,0.0269
Truck,69,0.5193,1214.0739,3.1146,0.0641,0.0115,0.0811,0.0613,0.1522,888.1732,1.4080,0.0283,0.0084,0.0207,0.0271
Truck,70,0.5398,1211.7072,3.1534,0.0638,0.0115,0.0828,0.0610,0.1603,890.7569,1.4187,0.0285,0.0084,0.0216,0.0272
Bus,0,1.7052,12.7834,0.6062,0.0001,0.0001,0.0807,0.0001,1.3037,10.4247,1.2376,0.0001,0.0001,0.0639,0.0001
Bus,5,20.7553,2860.2247,6.9105,0.0597,0.0186,0.4993,0.0570,23.9976,2501.4118,2.6218,0.0074,0.0141,0.1044,0.0070
Bus,6,20.2836,2782.8803,6.5264,0.0560,0.0182,0.4690,0.0535,23.4637,2424.4382,2.4492,0.0071,0.0136,0.0990,0.0067
Bus,7,19.8120,2705.5358,6.1422,0.0523,0.0177,0.4387,0.0500,22.9297,2347.4646,2.2765,0.0068,0.0131,0.0936,0.0064
Bus,8,19.3403,2628.1913,5.7580,0.0486,0.0172,0.4084,0.0465,22.3957,2270.4910,2.1038,0.0064,0.0127,0.0881,0.0061
Bus,9,18.8686,2550.8469,5.3739,0.0449,0.0167,0.3781,0.0429,21.8617,2193.5175,1.9311,0.0061,0.0122,0.0827,0.0058
Bus,10,18.3970,2473.5024,4.9897,0.0412,0.0162,0.3478,0.0394,21.3278,2116.5439,1.7584,0.0058,0.0118,0.0773,0.0055
Bus,11,18.2626,2387.8333,4.6778,0.0381,0.0155,0.3189,0.0364,21.1073,2047.5775,1.6420,0.0055,0.0112,0.0736,0.0052
Bus,12,18.1282,2302.1641,4.3659,0.0349,0.0147,0.2901,0.0334,20.8868,1978.6110,1.5255,0.0052,0.0107,0.0699,0.0050
Bus,13,17.9938,2216.4950,4.0539,0.0318,0.0140,0.2612,0.0304,20.6662,1909.6446,1.4091,0.0050,0.0101,0.0662,0.0047
Bus,14,17.8595,2130.8259,3.7420,0.0286,0.0132,0.2324,0.0274,20.4457,1840.6782,1.2926,0.0047,0.0096,0.0625,0.0045
Bus,15,17.7251,2045.1567,3.4300,0.0255,0.0125,0.2035,0.0243,20.2252,1771.7118,1.1762,0.0045,0.0090,0.0588,0.0042
Bus,16,19.5028,2013.8706,3.1042,0.0219,0.0114,0.1854,0.0209,22.3237,1775.9215,1.0665,0.0043,0.0083,0.0594,0.0040
Bus,17,21.2804,1982.5846,2.7783,0.0184,0.0103,0.1672,0.0175,24.4222,1780.1312,0.9569,0.0041,0.0075,0.0601,0.0039
Bus,18,23.0581,1951.2985,2.4524,0.0148,0.0092,0.1490,0.0141,26.5207,1784.3409,0.8473,0.0039,0.0067,0.0607,0.0037
Bus,19,24.8358,1920.0124,2.1265,0.0112,0.0081,0.1308,0.0108,28.6192,1788.5505,0.7377,0.0037,0.0060,0.0613,0.0035
Bus,20,26.6134,1888.7263,1.8007,0.0077,0.0070,0.1126,0.0074,30.7177,1792.7602,0.6280,0.0035,0.0052,0.0620,0.0033
Bus,21,22.0537,1802.6822,2.1964,0.0114,0.0082,0.1152,0.0109,25.2049,1655.9515,0.7462,0.0034,0.0061,0.0542,0.0033
Bus,22,17.4940,1716.6380,2.5921,0.0151,0.0095,0.1178,0.0144,19.6922,1519.1428,0.8643,0.0034,0.0070,0.0465,0.0032
Bus,23,12.9342,1630.5938,2.9878,0.0188,0.0107,0.1203,0.0180,14.1794,1382.3341,0.9825,0.0033,0.0078,0.0388,0.0032
Bus,24,8.3745,1544.5496,3.3835,0.0225,0.0119,0.1229,0.0215,8.6666,1245.5254,1.1006,0.0033,0.0087,0.0311,0.0031
Bus,25,3.8147,1458.5055,3.7792,0.0262,0.0131,0.1255,0.0251,3.1538,1108.7167,1.2188,0.0032,0.0096,0.0234,0.0031
